feature,category,count,mean,median,std,min,max
sex,female,4998,26247.88,23726.68,10234.59,5319.81,60548.57
sex,male,5002,26455.68,24216.79,10235.58,5822.19,62272.66
smoker,no,7987,22355.15,21787.34,6433.55,5319.81,42006.84
smoker,yes,2013,42209.48,41582.23,6428.31,24071.5,62272.66
region,northeast,2518,26038.74,23814.1,9929.37,6220.25,60106.41
region,northwest,2526,26607.33,24221.93,10509.35,5319.81,62272.66
region,southeast,2531,26307.0,23933.81,10137.68,7711.61,58624.82
region,southwest,2425,26457.55,23928.24,10356.17,5822.19,61755.68
chronic_disease,no,7021,23401.26,20908.18,9170.39,5319.81,51370.75
chronic_disease,yes,2979,33305.81,30941.55,9197.68,15096.58,62272.66
children,0,1942,25401.93,23163.64,9930.21,5319.81,58624.82
children,1,1961,25989.55,23689.12,10230.9,7386.22,58172.28
children,2,2027,26392.52,24027.3,10398.32,5822.19,60106.41
children,3,1975,26587.83,24216.93,10229.48,6853.28,62272.66
children,4,2095,27309.59,24927.15,10278.86,6220.25,61755.68
